1.774400,645160,741376,11276288
1002.146500,7452488,8151040,37515264
2002.553900,7452488,8151040,37515264
3003.428800,7452488,8151040,37515264
4004.186500,7452488,8151040,37515264
5004.312400,7452488,8151040,37515264
6004.950000,7452488,8151040,37515264
7005.890900,7452488,8151040,37515264
8006.257900,7452488,8151040,37515264
9006.794900,7452488,8151040,37515264
10007.067900,7452488,8151040,37515264
11007.278900,7452488,8151040,37515264
12008.031000,7452488,8151040,37515264
13008.768800,7452488,8151040,37515264
14009.990600,7452488,8151040,37515264
15010.762300,7452488,8151040,37515264
16011.368600,7452488,8151040,37515264
17019.259800,205652456,206532608,246968320
18026.667300,770597608,772050944,954134528
19028.435700,1708713000,1712582656,1824493568
20031.624700,1969475000,1978290176,2095673344
21062.855400,1781739000,1795108864,2253811712
22064.025100,362148680,375820288,2277863424
23083.752300,474407400,491913216,2373853184
24084.625700,571371144,592023552,2446471168
25085.878000,571371592,592023552,2446471168
26087.079300,815342856,843849728,2566656000
27088.332300,954505512,987365376,2609127424
28089.541700,955015496,987951104,2616651776
29090.736000,955021320,987951104,2616651776
30092.018200,955000200,987951104,2616651776
31093.280300,955000200,987951104,2616651776
32094.535000,955000200,987951104,2616651776
33095.763200,990429720,1024536576,2685165568
34097.085600,1059988504,1096257536,2700304384
35098.320000,1059997912,1096257536,2700304384
36099.650300,1060239304,1096503296,2700304384
37100.819900,990686344,1024864256,2700304384
38102.059100,990686344,1024864256,2700304384
39103.377100,990686344,1024864256,2700304384
40104.704800,990686344,1024864256,2700304384
41105.930400,990686344,1024864256,2700304384
42107.151700,990933112,1025142784,2703773696
43108.342100,991203048,1025437696,2707243008
44109.602500,1095539208,1133002752,2727383040
45110.873600,1095465672,1132879872,2727383040
46112.160200,1095465672,1132879872,2727383040
47113.391500,747700872,774561792,2727383040
48114.016800,747700872,774561792,2727383040
49114.586000,747700872,774561792,2727383040
50115.809800,747700872,774561792,2727383040
51117.053000,747700872,774561792,2727383040
52117.635200,747700872,774561792,2727383040
53118.633300,747700872,774561792,2727383040
54119.875100,747700872,774561792,2727383040
55121.023800,747700872,774561792,2727383040
56122.196600,747700872,774561792,2727383040
57122.658700,365159592,379748352,2727383040
58123.895100,365159592,379748352,2727383040
59125.014000,365159592,379748352,2727383040
60126.363600,365159592,379748352,2727383040
61127.064400,365159592,379748352,2727383040
62127.497500,365159592,379748352,2727383040
63127.953000,365159592,379748352,2727383040
64128.719500,365159592,379748352,2727383040
65129.322500,365159592,379748352,2727383040
