"elapsed time [ms]","stats.allocated","stats.active","stats.mapped"
132241.523861,182665661592,185014173696,185654841344
133242.484895,185886751800,188297854976,188938416128
134244.303825,178329804696,180783194112,181424463872
135246.273552,175028680744,177507053568,178150699008
136248.087739,174954715528,177448099840,178227949568
137249.708235,156980807688,159477514240,161198141440
138251.342503,131488101864,133984428032,135304429568
139253.016264,118872061864,121368240128,122017419264
140254.705970,120482674600,122978865152,123628044288
141256.318516,120482674600,122978865152,123628044288
142258.159847,121556416424,124052615168,124701794304
143259.907793,121556416424,124052615168,124701794304
144261.592283,121556416424,124052615168,124701794304
145263.295305,124777641896,127273865216,127923044352
146265.008813,126925125544,129421365248,130070544384
147266.727473,129072609192,131568865280,132218044416
148268.446870,129072609192,131568865280,132218044416
149270.104833,130146351016,132642615296,133291794432
150271.771932,130146351016,132642615296,133291794432
151273.243007,130146351016,132642615296,133291794432
152274.958977,138333632424,140829974528,141479153664
153276.817592,151486969768,153983455232,154632634368
154278.135930,164463618696,166988263424,167635525632
155279.302955,167536061720,170081259520,170727333888
156280.397693,171548814232,174114529280,174760615936
157281.388936,175977983336,178564702208,179210301440
158282.291756,178119367544,180735197184,181380325376
159283.184419,181661283448,184303603712,184961314816
160284.561461,184361928552,187041820672,187697471488
161285.668080,189536090728,192263483392,192930811904
162287.579879,192015934824,194782384128,195455545344
163288.471076,197470615672,200296148992,200968863744
164289.361612,201196629000,204077641728,204762603520
165291.028243,204048570520,206999150592,207697047552
166292.670480,204069465448,207080390656,208341032960
167294.358682,198664325672,201723383808,202454818816
168296.062340,195065891944,198158471168,199440842752
169297.708169,187153257752,190262890496,191009910784
170299.339373,174291306552,177408352256,178830098432
171300.948945,160438359544,163557847040,166054936576
172302.591108,149974259032,153093623808,154383413248
173304.844376,141921528152,145040797696,145793884160
174306.528859,141921528152,145040797696,145793884160
175308.207547,142458399064,145577672704,146330759168
176309.843532,142995269976,146114547712,146867634176
177311.496959,145142753624,148262047744,149015134208
178313.193608,147827108184,150946422784,151699509248
179314.803010,149437720920,152557047808,153310134272
180316.459170,150511462744,153630797824,154383884288
181318.066130,150511462744,153630797824,154383884288
182319.723954,152793164120,155912519680,156665606144
183321.415786,156282825048,159402213376,160155299840
184323.132965,164589957400,167717355520,168469946368
185325.041905,174493762392,177645510656,178395947008
186326.058006,184704702264,187886219264,188636655616
187327.751644,189354006488,192550780928,193301217280
188328.713759,192800742840,196012961792,196763398144
189329.617113,195702158952,198937931776,199685246976
190330.640636,199983794712,203253067776,204100845568
191331.548659,203073787016,206364639232,207212126208
192333.171341,206581468392,209911009280,210756505600
193334.216765,210212635512,213568020480,214414430208
194335.398699,215389847880,218789634048,219636125696
195336.842297,216759653240,220202328064,221585600512
196339.338212,212191813768,215681675264,216526368768
197341.897910,209163069336,212694573056,213539409920
198344.379216,206735357672,210328096768,211172843520
199346.329837,208741058360,212384333824,213229105152
200348.195833,210320541080,214002257920,214849437696
201349.992631,212165873464,215877570560,217800351744
202352.348762,201162445928,204885962752,205737152512
203354.605868,199416862664,203150016512,205077139456
204356.346786,182509378008,186247147520,187638784000
205358.031385,170894135688,174634291200,176563716096
206359.722719,166792896680,170535481344,171391156224
207361.333553,166797904248,170540662784,171397419008
208363.303613,164652058872,168394768384,169788436480
209364.938676,165725800696,169468518400,170325311488
210366.559131,167873284344,171616018432,172472811520
211368.202557,168947026168,172689768448,173546561536
212369.867637,170020767992,173763518464,174620311552
213371.482956,171765598456,175508365312,176365158400
214373.155099,173241993464,176984780800,177841573888
215374.815537,177455946952,181212991488,182068736000
216375.752934,188421217432,192189648896,193044377600
217377.417275,199035685944,202825564160,203679199232
218378.317290,203330270856,207132966912,207986565120
219379.171576,207873060312,211687972864,212540493824
220380.850759,210051250088,213879996416,214732517376
221382.096216,215595933736,219442995200,220295606272
222383.730988,218139384024,222002900992,222854307840
223385.732686,220215507192,224114651136,225099223040
224387.538111,224404215832,228342411264,229189693440
225388.524635,227136416728,231122780160,231967707136
226389.443417,231731217096,235781976064,236626141184
227390.383423,235775822696,239899168768,240742998016
228392.008841,235646881976,239850987520,241231298560
229393.678925,232352367688,236639956992,237484097536
230395.357368,230928049288,235257823232,236640337920
231397.001989,229234372360,233585156096,234969231360
232398.615003,218985246456,223348482048,225272819712
233400.131053,209142282600,213508235264,215434178560
234401.856745,187540166520,191905812480,193832869888
235404.417630,179890428728,184256036864,185109692416
236406.230200,180427299640,184792911872,185646567424
237409.279610,180964170552,185329786880,186183442432
238411.254901,181501041464,185866661888,186720317440
239412.983828,183111654200,187477286912,188330942464
240414.968536,184722266936,189087911936,189941567488
241416.771773,187406621496,191772286976,192625942528
242418.404704,189017234232,193382912000,194236567552
243420.375268,189017234232,193382912000,194236567552
244422.024428,190762064696,195127758848,195981414400
245423.685265,192775330616,197141049344,197994704896
246425.666657,197337254200,201715539968,202568544256
247427.382060,206957941784,211347480576,212200484864
248428.517009,216592294584,220993585152,221846085632
249429.771018,219971476824,224390356992,225238740992
250431.569400,226425952856,230870544384,231718670336
251433.253077,228150109752,232615202816,233463328768
252434.866027,232622471048,237109997568,237957705728
253436.706391,236187629256,240702783488,241550913536
254438.346678,239548183848,244088655872,244936810496
255440.034319,241564803000,246147678208,247532253184
256441.216711,247097170856,251720835072,252565680128
257442.207786,251055166392,255725375488,256686252032
258443.953813,253874997480,258614681600,259574935552
259444.997478,258112863384,262919442432,263881842688
260446.970245,260147208712,265018765312,265980379136
261448.679200,239827264280,244755988480,246256513024
262450.387488,240024229848,244983750656,245947281408
263452.008704,237180753304,242159226880,243125571584
264453.670355,237112462168,242100670464,243606413312
265455.258375,219958299608,224947060736,226990362624
266456.858243,206809407256,211798065152,214915629056
267458.468471,199293214488,204281802752,205251866624
268460.090592,199830085400,204818677760,205788741632
269461.759773,200903827224,205892427776,206862491648
270463.463565,202514439960,207503052800,208473116672
271465.321731,204125052696,209113677824,210083741696
272467.247915,205735665432,210724302848,211694366720
273468.226406,207346278168,212334927872,213304991744
274469.742667,207883149080,212871802880,213841866752
275470.887500,210970156824,215958843392,216928907264
276472.544690,213631089688,218627457024,219596464128
277474.155669,219128684232,224133283840,225102303232
